id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,10477,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19495368.0,19495368.0,False,,1,,,,2023-09-25T09:17:00.000Z,26114.61822773049,10902135328.721998,70.1588,-0.17687384,-1.85593172,-2.50748293,0.40792397,-11.44551665,-14.0106674,509114092529.1137,48.9031,548406982782.34,,2023-09-25T09:17:00.000Z,,,,,,2023-09-25 09:19:16.369703
1027,Ethereum,ETH,ethereum,7433,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120229194.26476291,120229194.26476291,True,,2,,,,2023-09-25T09:17:00.000Z,1576.982077046679,4144947295.1040745,116.1849,-0.16090641,-1.16888605,-3.65924034,-4.31940426,-16.12417623,-15.87340618,189599284493.2945,18.2112,189599284493.29,,2023-09-25T09:17:00.000Z,,,,,,2023-09-25 09:19:16.369703
825,Tether USDt,USDT,tether,62769,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83203741768.41058,86426198724.99622,True,,3,,,,2023-09-25T09:17:00.000Z,0.9997233271388977,16950501298.575317,58.9952,-0.00329954,-0.03447563,-0.04565181,0.02976741,-0.04051189,-0.0148314,83180721551.1211,7.9896,86402286941.32,,2023-09-25T09:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-09-25 09:19:16.369703
1839,BNB,BNB,bnb,1636,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153847301.19327956,153847301.19327956,False,,4,,,,2023-09-25T09:17:00.000Z,209.02768011997668,326408121.68930244,56.4483,-0.15932471,-0.89170012,-4.43194007,-3.61814135,-13.67019734,-12.18451273,32158344461.150547,3.0888,32158344461.15,,2023-09-25T09:17:00.000Z,,,,,,2023-09-25 09:19:16.369703
52,XRP,XRP,xrp,1098,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53245240268.0,99988414766.0,False,,5,,,,2023-09-25T09:17:00.000Z,0.4948250026341945,686878355.036412,89.8721,-0.0821232,-2.93214534,0.14135508,-5.00088341,-30.82095043,3.12047503,26347076155.871418,2.5307,49482500263.42,,2023-09-25T09:17:00.000Z,,,,,,2023-09-25 09:19:16.369703
3408,USDC,USDC,usd-coin,14224,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25711868798.0244,25711868798.0244,False,,6,,,,2023-09-25T09:17:00.000Z,0.9999876242411296,2428439539.5964866,67.289,-0.00244932,-0.00473189,-0.02839111,-0.00670851,-0.02425831,0.01007861,25711550594.136047,2.4696,25711550594.14,,2023-09-25T09:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-09-25 09:19:16.369703
2010,Cardano,ADA,cardano,938,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35119971480.54,36198584811.424,False,,7,,,,2023-09-25T09:17:00.000Z,0.24483303280628044,94049094.7851408,48.0427,-0.19768095,-0.49878084,-1.99456377,-5.31664523,-21.59857369,-12.87958348,8598529129.650682,0.8259,11017486476.28,,2023-09-25T09:17:00.000Z,,,,,,2023-09-25 09:19:16.369703
74,Dogecoin,DOGE,dogecoin,800,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141149246383.70517,141149246383.70517,True,,8,,,,2023-09-25T09:17:00.000Z,0.06078023726386864,136542291.13635558,27.3925,-0.17213027,-1.39237405,-1.89203894,-3.59103363,-22.88587582,-6.55274268,8579084684.817853,0.824,8579084684.82,,2023-09-25T09:17:00.000Z,,,,,,2023-09-25 09:19:16.369703
5426,Solana,SOL,solana,530,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,412747141.35697895,558282961.8402541,True,,9,,,,2023-09-25T09:17:00.000Z,19.468927465332694,139015702.16521603,47.2167,-0.0800732,-0.85805252,1.44137656,-3.95274089,-23.07492968,17.67455212,8035744156.602444,0.7718,10869170489.2,,2023-09-25T09:17:00.000Z,,,,,,2023-09-25 09:19:16.369703
11419,Toncoin,TON,toncoin,150,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,10,3414166606.0,7512533509.264818,,2023-09-25T09:17:00.000Z,2.2004003835262216,26803620.2914985,22.4408,0.25657229,-3.04251487,-7.0013874,54.59862412,61.66823791,50.84247578,7551536665.819653,0.7254,11106649720.88,,2023-09-25T09:17:00.000Z,,,,,,2023-09-25 09:19:16.369703
